ccf_id,control_domain,control_name,control_description,control_theme,control_type,policy_standard,implementation_guidance,testing_procedure,audit_artifacts
AM-01,Asset Management,Inventory Management,"Organization maintains an inventory of information systems, which is reconciled on a periodic basis.",Process,Preventive,Asset Management Policy,"1. Design and document a process for maintaining an inventory of information systems for management of assets within an organization.

2. Perform inventory reconciliation on a periodic basis.

3. Create and maintain periodic reconciliation documentation.","1. Inspect the policy and standard to determine whether requirements for maintaining and reconciling a system of inventory for information systems are defined.

2. Observe the inventory of system devices to determine whether the organization maintains the inventory in a system of record.

3. Inspect periodic reconciliation documentation to determine whether reconciliation was performed.","E-AM-01

E-AM-02

E-AM-03" 
AM-02,Asset Management,Inventory Management: Applications,"Organization maintains an inventory of application assets, which is reconciled on a periodic basis.",Process,Preventive,Asset Management Policy,"1. Design and document a process for maintaining an inventory of application assets for management of assets within an organization.

2. Perform inventory reconciliation on a periodic basis.

3. Create and maintain periodic reconciliation documentation.","1. Inspect the policy and standard to determine whether requirements for maintaining and reconciling a system of inventory for application assets are defined.

2. Observe the inventory of system devices to determine whether the organization maintains the inventory in a system of record.

3. Inspect periodic reconciliation documentation to determine whether reconciliation was performed.","E-AM-01

E-AM-02

E-AM-03" 
AM-03,Asset Management,Inventory Reconciliation: ARP Table,Organization reconciles network discovery scans against the established device inventory on a quarterly basis; non-inventoried devices are assigned an owner.,Process,Preventive,Asset Management Policy,"1. Design and document a process for conducting network discovery scans on a periodic basis.

2. Ensure the results of the scans are reconciled with the system asset inventory at least quarterly.

3. Ensure necessary actions are taken to include non-inventoried assets in the inventory with appropriate ownership details.","1. Inspect network discovery scans result to ensure periodic scans were conducted. 

2. Observe the reconciliation report of network discovery scans against the established device inventory to determine that the inventories are reconciled on a quarterly basis.

3. Inspect the device inventory to ensure non-inventoried devices have been added and have a designed owner.","E-AM-04

E-AM-03

E-AM-02" 
AM-04,Asset Management,Inventory Reconciliation: Logging,Organization reconciles the enterprise log repository against the established device inventory on a quarterly basis; non-inventoried devices are assigned an owner.,Process,Preventive,Asset Management Policy,"1. Ensure logs from enterprise logging solutions are reconciled with the system device asset inventory on a quarterly basis.

2. Ensure necessary actions are taken to include non-inventoried assets in the inventory with appropriate ownership details","1. Inspect the reconciliation report of enterprise log repository against the established device inventory to determine that the inventories are reconciled on a quarterly basis.

2. Inspect the non-inventoried devices to determine that the assets have a designed owner.","E-AM-03

E-AM-02" 
AM-05,Asset Management,Inventory Labels,Organization assets are labeled and have designated owners.,Process,Preventive,Asset Management Policy,"1. Ensure all assets in the system device asset inventory are assigned appropriate labels as per the organization's labelling procedures.

2. Ensure each asset has an assigned owner and accuracy is maintained.","1. Inspect documentation to determine whether requirements for asset labelling ownership assessment are defined.

2. Inspect the asset listings to determine whether the assets are labelled and have a designated owner.

3. For a sample of services, inspect the asset reports to determine asset are labelled and have a designated owner.

4. Observe and compare physical assets at an organization's data center to determine whether the assets were labelled according to in-scope asset listings.","E-AM-02

E-AM-01" 
AM-06,Asset Management,Media Marking,"Where applicable, Organization marks information system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information. Exemptions must be approved by management and remain in a specific controlled area.",Process,Preventive,Asset Management Policy,"1. Ensure that a process is established and documented for media marking and handling, including distribution limitation.

2. Ensure that sensitive information containing media is marked as per the organization's media marking requirements as applicable.

3. Ensure that any exceptions are approved by management, documented and retained by authorized personnel.","1. Inspect information system media marking to indicate the distribution limitations, handling caveats, and applicable security markings (if any) of the information.

2. Inspect exemption cases to validate that it must be approved by management and remain in a specific area.","E-AM-01

E-AM-05" 
AM-07,Asset Management,Asset Transportation Authorization,Organization authorizes and records the entry and exit of systems at datacenter locations.,Process,Preventive,Asset Management Policy,"1. Ensure a process is established and documented to control the transport of assets in and out of data center locations.

2. Ensure appropriate records and approvals are obtained and maintained against entry and exit of each asset.","1. Inspect the policy and/or standard to determine whether requirements have been established to authorize and record the entry and exit of systems at datacenter locations.

2. Inspect evidence of asset movement from a sample of data centers and colocations.","E-AM-01

E-AM-06" 
AM-08,Asset Management,Asset Transportation Documentation,"Organization documents the transportation of physical media outside of datacenters. Physical media is packaged securely and transported in a secure, traceable manner.",Process,Preventive,Asset Management Policy,"
1. Ensure appropriate records and approvals are obtained and documented against entry and exit of each asset.

2. Ensure all assets being transported are secured as per the organization's policy and can be tracked when offsite.","1. Inspect the policy and/or standard to determine whether the transportation of physical media outside of datacenters are defined.

2. Inspect the logs of physical media evidence that have been transported to determine that physical media is packed securely and transported in a secure, traceable manner.","E-AM-01

E-AM-06" 
AM-09,Asset Management,Use of Portable Media,The use of portable media in Organization datacenters is prohibited unless explicitly authorized by management.,Process,Preventive,Asset Management Policy,"1. Ensure policy and procedures are established and communicated prohibiting the use of portable media.

2. Ensure necessary controls are in place to detect the usage of portable media inside the organization's network.

3. Ensure any exceptions are documented based on business justification and need and are approved appropriately.","1. Inspect the policy and/or standard to determine that the use of portable media in the datacenters is prohibited unless explicitly authorized by management.

2. Inspect Configurations to detect the use of portable media.","E-AM-01

E-AM-07" 
AM-10,Asset Management,Maintenance of Assets,Equipment maintenance is documented and approved according to management requirements.,Process,Preventive,Asset Management Policy,"1. Ensure a process is established and documented for maintenance of assets.

2. Ensure all maintenance is approved by the management and is carried out through approved vendors.

3. Ensure proper testing of equipment is conducted post maintenance before use.","1. Inspect the policy and/or standard to determine whether management requirements have been established for the documentation and approval of equipment maintenance.

2. Inspect equipment maintenance requests to determine whether equipment maintenance is documented and approved according to management requirements.","E-AM-01

E-AM-08" 
