ccf_id,control_domain,control_name,control_description,nist_cybersecurity,bsi_c5,cis_v8,mlps,iso_22301,cyber_essentials_uk,ens,iso_27001,iso_27002,iso_27017,iso_27018,tx_ramp_L1,fedramp_tailored,fedramp_moderate,hipaa_security,irap,ismap,mas,pci_dss_v4,kfsi,soc_2,nist_cybersecurity_ref,bsi_c5_ref,cis_v8_ref,mlps_ref,iso_22301_ref,cyber_essentials_uk_ref,ens_ref,iso_27001_ref,iso_27002_ref,iso_27017_ref,iso_27018_ref,tx_ramp_L1_ref,fedramp_tailored_ref,fedramp_moderate_ref,hipaa_security_ref,irap_ref,ismap_ref,mas_ref,pci_dss_v4_ref,kfsi_ref,soc_2_ref
AM-01,Asset Management,Inventory Management,"Organization maintains an inventory of information systems, which is reconciled on a periodic basis.",X,X,X,X,,,X,,,,,X,X,X,X,X,X,X,X,X,X,"ID.AM-2
ID.AM-1","AM-01
AM-06","1.1
6.6","8.1.4.2
8.1.10.2",,,"8

9

10

26",,,,,CM-08,CM-08,"CM-08
CM-08 (01)",164.310(d)(1),"ISM-1551
ISM-1549
ISM-1359
ISM-1713
ISM-1493
ISM-0336","8.1.1.1
8.1.1.2
8.1.1.3
8.1.1.4
8.1.1.5
8.1.1.6.PB
8.3.1.3
8.3.1.8
8.3.1.11
11.2.1.9
18.1.3.12
18.1.2.4",3.3,"12.5.1, 12.5.2, 12.5.2.1, 9.5.1.1",3.1.1,CC6.1
AM-02,Asset Management,Inventory Management: Applications,"Organization maintains an inventory of application assets, which is reconciled on a periodic basis.",X,X,X,X,,,X,,,,,X,X,X,X,X,X,X,X,X,X,"ID.AM-2
ID.AM-1","AM-01
AM-06","1.1
6.6","8.1.4.2
8.1.10.2",,,"8

9

10

26",,,,,CM-08,CM-08,"CM-08
CM-08 (01)",164.310(d)(1),"ISM-1551
ISM-1549
ISM-1359
ISM-1713
ISM-1493
ISM-0336","8.1.1.1
8.1.1.2
8.1.1.3
8.1.1.4
8.1.1.5
8.1.1.6.PB
8.3.1.3
8.3.1.8
8.3.1.11
11.2.1.9
18.1.3.12
18.1.2.4",3.3,"12.5.1, 12.5.2, 12.5.2.1, 9.5.1.1",3.1.1,CC6.1
AM-03,Asset Management,Inventory Reconciliation: ARP Table,Organization reconciles network discovery scans against the established device inventory on a quarterly basis; non-inventoried devices are assigned an owner.,  ,  , X , X ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , X ,  ,  ,,,"1.2
1.3
1.5", 8.1.10.2 ,,,,,,,,,,,,,,," 11.2, 11.2.1, 11.2.2, 11.3.1, 11.3.1.3, 11.4.5, 11.4.6 ",,
AM-04,Asset Management,Inventory Reconciliation: Logging,Organization reconciles the enterprise log repository against the established device inventory on a quarterly basis; non-inventoried devices are assigned an owner.,,,X,,,,,,,,,,,X,,,,,X,,,,,1.4,,,,,,,,,,,CM-08 (03),,,,,"12.5.1, 12.5.2, 12.5.2.1, 9.4.5, 9.4.5..1",,
AM-05,Asset Management,Inventory Labels,Organization assets are labeled and have designated owners.,,X,X,X,,,X,,X,,,X,X,X,,X,X,X,X,X,X,,"AM-01
AM-06",1.1,8.1.4.2,,,"8

9

10 

26

92

93

80",,5.13,,,CM-08,CM-08,CM-08,,"ISM-0294
ISM-1217
ISM-0332
ISM-0325
ISM-0330
ISM-0831
ISM-0378
ISM-1187
ISM-1071
ISM-1525","8.1.2.1
8.1.2.2
8.1.2.3
8.1.2.4
8.1.2.5
8.1.2.6",3.3,9.4.2,3.1.1,CC6.1
AM-06,Asset Management,Media Marking,"Where applicable, Organization marks information system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information. Exemptions must be approved by management and remain in a specific controlled area.",,,,X,,,,,X,,,,,X,,X,X,,X,,,,,,8.1.10.3,,,,,"5.1

7.8 ",,,,,MP-03,,"ISM-1574
ISM-1599
ISM-0323
ISM-0337
ISM-0325
ISM-0330
ISM-0831
ISM-0270","18.1.3.2
18.1.3.4
18.1.3.5
18.1.3.7",,9.4,,
AM-07,Asset Management,Asset Transportation Authorization,Organization authorizes and records the entry and exit of systems at datacenter locations.,X,,,,,,X,,X,,X,X,X,X,X,X,X,,X,,X,"ID.AM-4
PR.DS-3",,,,,,"57

68

69

84",,7.1,,A.10.4,"MA-02
PE-08","MA-02
PE-08","MA-02
PE-08
SA-09 (05)","164.310(d)(1)
164.310(d)(2)(iii)","ISM-1243
ISM-1779","6.1.2.2
8.3.1.2
11.2.5.1
11.2.5.2
11.2.5.3
11.2.5.4
11.2.6.2",,9.4.4,,CC6.7
AM-08,Asset Management,Asset Transportation Documentation,"Organization documents the transportation of physical media outside of datacenters. Physical media is packaged securely and transported in a secure, traceable manner.",,,,X,,,X,,,,X,X,X,X,,X,X,,X,,,,,,"8.1.10.3
8.1.10.4",,,"57

68

69",,,,A.10.4,MA-02,MA-02,"MA-02
MP-05",,ISM-0310,"8.3.3.1
8.3.3.2
8.3.3.3
8.3.3.4
8.3.3.5
11.2.5.1
11.2.6.3
11.2.6.5",,9.4.3,,
AM-09,Asset Management,Use of Portable Media,The use of portable media in Organization datacenters is prohibited unless explicitly authorized by management.,,,,,,,,,,,,X,X,X,,,,,X,,,,,,,,,,,,,,MP-07,MP-07,"MP-07
MP-05",,,,,9.4.4,,
AM-10,Asset Management,Maintenance of Assets,Equipment maintenance is documented and approved according to management requirements.,X,X,,X,,,X,,X,,,X,X,X,X,X,X,X,X,,X,"PR.DS-8
PR.MA-1",PS-06,,"8.1.10.4
8.1.10.6",,,"13

29",,7.13,,,"CM-08
MA-02
MA-04
MP-01","CM-08
MA-02
MA-04
MP-01
SA-22
SR-11 (02)","CM-08
MA-02
MA-04
MP-01
MA-03",164.310(a)(2)(iv),"ISM-0305
ISM-0307
ISM-0306
ISM-1598","6.1.1.5
8.3.1.4
8.3.1.5
8.3.1.6
8.3.1.9
11.2.1.10
11.2.4.1 
11.2.4.2
11.2.4.3
11.2.4.4
11.2.4.5
11.2.4.6
11.2.4.7
11.2.4.8
11.2.4.9
11.2.4.10
11.2.4.11",7.3,9.4.4,,A1.2
