reference_id,evidence_domain,evidence_title
E-AM-01,Asset Management,Asset Management Policy
E-AM-02,Asset Management,Asset Inventory
E-AM-03,Asset Management,Asset Reconciliation Records
E-AM-04,Asset Management,Network Discovery Scan Records
E-AM-05,Asset Management,Evidence of Media Snapshots
E-AM-06,Asset Management,Asset Movement Records
E-AM-07,Asset Management,Portable Media Configuration Evidence
E-AM-08,Asset Management,Asset Maintenance Records
E-AM-09,Asset Management,Payment Card Device Verification Records
E-AM-10,Asset Management,Hardware Installation Records
E-AM-11,Asset Management,Software Bill of Materials
E-BC-01,Business Continuity,Business Continuity Policy
E-BC-02,Business Continuity,Business Continuity Plan
E-BC-03,Business Continuity,Business Continuity/Disaster Recovery Test Results
E-BC-04,Business Continuity,Business Impact Analysis Documentation
E-BC-05,Business Continuity,Capacity Planning Meeting Minutes
E-BM-01,Backup Management,Backup Management Policy
E-BM-02,Backup Management,Backup Restoration Test Results
E-BM-03,Backup Management,Evidence of Failed Backup Review
E-BM-04,Backup Management,Backup Configuration Evidence
E-BM-05,Backup Management,Alternate Telecommunications Agreement
E-BM-06,Backup Management,Sample Alerts for Backup Failure
E-BM-07,Backup Management,Backup Configuration Evidence
E-CFM-01,Configuration Management,Firewall standard
E-CFM-02,Configuration Management,Configuration Management Standard
E-CFM-03,Configuration Management,Periodic Rule review documentation
E-CFM-04,Configuration Management,System generated Latest patch versioning documentation
E-CFM-05,Configuration Management,Configuration deviation samples
E-CFM-06,Configuration Management,Security hardening standard 
E-CFM-07,Configuration Management,Authorized application/software listing
E-CFM-08,Configuration Management,List of denied activities on information systems
E-CFM-09,Configuration Management,Review history documentation
E-CFM-10,Configuration Management,Information systems activity logs
E-CFM-11,Configuration Management,Security hardening and configuration baselines checks review documentation
E-CFM-12,Configuration Management,Sample of device log reconciliation with Asset register
E-CFM-13,Configuration Management,NTP Server configuration
E-CFM-14,Configuration Management,Sample server configuration
E-CFM-15,Configuration Management,NTP server logs
E-CFM-16,Configuration Management,Logical Access Management Standard
E-CFM-17,Configuration Management,Access Review Records
E-CFM-18,Configuration Management,Sample of server logs
E-CFM-19,Configuration Management,Sample of collaborative computing device logs
E-CFM-20,Configuration Management,Authorized approval matrix
E-CFM-21,Configuration Management,Change Management Standard
E-CFM-22,Configuration Management,Sample of change requests
E-CFM-23,Configuration Management,Sample of documented approval on production job changes
E-CFM-24,Configuration Management,Sample of documented change monitoring details
E-CHM-01,Change Management,Change Management Policy
E-CHM-02,Change Management,Change Management Tool Configuration
E-CHM-03,Change Management,Change Records
E-CHM-04,Change Management,Company Website Link
E-CMS-01,Customer Managed Security,Customer capabilities in access management console
E-CMS-02,Customer Managed Security,Customer Authentication Standard
E-CMS-03,Customer Managed Security,Customer Admin Console
E-CMS-04,Customer Managed Security,Customer contracts and agreements
E-CMS-05,Customer Managed Security,Privileged User Roles capabilities
E-CRY-01,Cryptography,List of approved key storage solutions
E-CRY-02,Cryptography,Periodic Access Review documentation
E-CRY-03,Cryptography,Sample of Key rotation evidence
E-CRY-04,Cryptography,Key Management Standard
E-CRY-05,Cryptography,Sample key custodian acknowledgement form
E-CRY-06,Cryptography,Data Classification and Handling Standard
E-CRY-07,Cryptography,Data Encryption Standard
E-CRY-08,Cryptography,Latest TLS Version evidence
E-CRY-09,Cryptography,Digital Certificates Validity
E-CRY-10,Cryptography,Qualys SSL Labs Scan Results
